상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220805430833,두메골민속주점,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,41,경기도,41171,안양시 만안구,41171510,안양1동,4117110100,안양동,4117110100106380004,1,대지,638.0,4.0,경기도 안양시 만안구 안양동 638-4,411713182003.0,경기도 안양시 만안구 만안로,214.0,,4117110100106380004007968,,경기도 안양시 만안구 만안로 214,430831.0,13992,,1,,126.923797919153,37.3998981601659
MA010120220805430995,윤서엔지니어링,,M1,과학·기술,M109,기술 서비스,M10903,건물 및 토목 엔지니어링 서비스업,M72121,건물 및 토목 엔지니어링 서비스업,41,경기도,41173,안양시 동안구,41173559,인덕원동,4117310200,관양동,4117310200109540001,1,대지,954.0,1.0,경기도 안양시 동안구 관양동 954-1,411734349232.0,경기도 안양시 동안구 흥안대로427번길,16.0,,4117310200109540001000001,평촌디지털엠파이어,경기도 안양시 동안구 흥안대로427번길 16,431804.0,14059,,,,126.973756938248,37.3929986456574
MA010120220805431146,거문도,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,41,경기도,41173,안양시 동안구,41173559,인덕원동,4117310200,관양동,4117310200114960022,1,대지,1496.0,22.0,경기도 안양시 동안구 관양동 1496-22,411734349242.0,경기도 안양시 동안구 흥안대로517번길,31.0,,4117310200114960022007766,,경기도 안양시 동안구 흥안대로517번길 31,431846.0,13951,,1,,126.974746973633,37.3999094033222
MA010120220805431455,블랙야크안양인덕원점,,G2,소매,G213,오락용품 소매,G21304,운동용품 소매업,G47631,운동 및 경기용품 소매업,41,경기도,41173,안양시 동안구,41173570,평촌동,4117310300,평촌동,4117310300100800001,1,대지,80.0,1.0,경기도 안양시 동안구 평촌동 80-1,411732000018.0,경기도 안양시 동안구 흥안대로,467.0,,4117310300100800001013310,,경기도 안양시 동안구 흥안대로 467,431070.0,14058,,1,,126.97569087882,37.3961150843263
MA010120220805431568,비쥬,,G2,소매,G217,시계·귀금속 소매,G21701,시계/귀금속 소매업,G47830,시계 및 귀금속 소매업,41,경기도,41173,안양시 동안구,41173540,부흥동,4117310100,비산동,4117310100111070001,1,대지,1107.0,1.0,경기도 안양시 동안구 비산동 1107-1,411732182002.0,경기도 안양시 동안구 시민대로,167.0,,4117310100111070001005174,안양벤처텔,경기도 안양시 동안구 시민대로 167,431817.0,14048,,,,126.949608485433,37.3907952425663
MA010120220805433497,린,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,41,경기도,41173,안양시 동안구,41173610,범계동,4117310400,호계동,4117310400110390003,1,대지,1039.0,3.0,경기도 안양시 동안구 호계동 1039-3,411733183006.0,경기도 안양시 동안구 동안로,119.0,,4117310400110390003005130,킴스아울렛,경기도 안양시 동안구 동안로 119,431812.0,14073,,3,,126.951211662129,37.3892055758239
MA010120220805433289,에비뉴골프아카데미,,R1,예술·스포츠,R103,스포츠 서비스,R10311,골프 연습장,R91136,골프 연습장 운영업,41,경기도,41173,안양시 동안구,41173510,비산1동,4117310100,비산동,4117310100105500001,1,대지,550.0,1.0,경기도 안양시 동안구 비산동 550-1,411732182001.0,경기도 안양시 동안구 관악대로,103.0,,4117310100105500001009779,103에비뉴,경기도 안양시 동안구 관악대로 103,431822.0,13924,,7,,126.935430622812,37.3991384495267
MA010120220805433342,반지대학범계캠퍼스,,R1,예술·스포츠,R104,유원지·오락,R10499,기타 오락관련 서비스업,R91299,그 외 기타 분류 안된 오락관련 서비스업,41,경기도,41173,안양시 동안구,41173610,범계동,4117310400,호계동,4117310400110460003,1,대지,1046.0,3.0,경기도 안양시 동안구 호계동 1046-3,411734349201.0,경기도 안양시 동안구 평촌대로223번길,59.0,,4117310400110460004005164,서련코아빌딩,경기도 안양시 동안구 평촌대로223번길 59,431812.0,14072,,,,126.952519723794,37.3901542786619
MA010120220805432744,속초코다리냉면,,I2,음식,I201,한식,I20105,국수/칼국수,I56112,한식 면 요리 전문점,41,경기도,41173,안양시 동안구,41173559,인덕원동,4117310200,관양동,4117310200114590003,1,대지,1459.0,3.0,경기도 안양시 동안구 관양동 1459-3,411732182001.0,경기도 안양시 동안구 관악대로,382.0,,4117310200114590003007263,,경기도 안양시 동안구 관악대로 382,431808.0,13947,,,,126.965472221968,37.4041627396401
MA010120220805433068,레몬약국,,G2,소매,G215,의약·화장품 소매,G21501,약국,G47811,의약품 및 의료용품 소매업,41,경기도,41173,안양시 동안구,41173510,비산1동,4117310100,비산동,4117310100105150002,1,대지,515.0,2.0,경기도 안양시 동안구 비산동 515-2,411733183009.0,경기도 안양시 동안구 비산로,18.0,,4117310100105150002002078,평촌자이아이파크,경기도 안양시 동안구 비산로 18,431818.0,13924,,1,,126.933259637485,37.4001100519753
MA010120220805434595,매머드익스프레스평촌디지털엠파이어점,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,41,경기도,41173,안양시 동안구,41173559,인덕원동,4117310200,관양동,4117310200109540001,1,대지,954.0,1.0,경기도 안양시 동안구 관양동 954-1,411734349232.0,경기도 안양시 동안구 흥안대로427번길,16.0,,4117310200109540001000001,평촌디지털엠파이어,경기도 안양시 동안구 흥안대로427번길 16,431804.0,14059,,1,,126.973756938248,37.3929986456574
MA010120220805435330,와이미즈산부인과의원,,Q1,보건의료,Q102,의원,Q10207,산부인과 의원,Q86201,일반의원,41,경기도,41173,안양시 동안구,41173540,부흥동,4117310100,비산동,4117310100111080001,1,대지,1108.0,1.0,경기도 안양시 동안구 비산동 1108-1,411732182002.0,경기도 안양시 동안구 시민대로,175.0,,4117310100111080001005143,동안프라자빌딩,경기도 안양시 동안구 시민대로 175,431817.0,14048,,,,126.950413949027,37.3913430340403
MA010120220805434652,설레임분식,,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,41,경기도,41171,안양시 만안구,41171570,안양7동,4117110100,안양동,4117110100101550002,1,대지,155.0,2.0,경기도 안양시 만안구 안양동 155-2,411714349278.0,경기도 안양시 만안구 태평로60번길,16.0,,4117110100101550002021116,한승미메이드아파트,경기도 안양시 만안구 태평로60번길 16,430816.0,14037,,1,,126.929901142522,37.395628453033
MA010120220805437884,이차돌,,I2,음식,I201,한식,I20108,소고기 구이/찜,I56113,한식 육류 요리 전문점,41,경기도,41171,안양시 만안구,41171510,안양1동,4117110100,안양동,4117110100106740099,1,대지,674.0,99.0,경기도 안양시 만안구 안양동 674-99,411713182003.0,경기도 안양시 만안구 만안로,211.0,,4117110100106740099007957,,경기도 안양시 만안구 만안로 211,430831.0,13992,,1,,126.923565535539,37.399562651778
MA010120220805437637,해은통신,,G2,소매,G208,가전·통신 소매,G20802,핸드폰 소매업,G47312,통신기기 소매업,41,경기도,41171,안양시 만안구,41171590,석수1동,4117110200,석수동,4117110200108250001,1,대지,825.0,1.0,경기도 안양시 만안구 석수동 825-1,411713183019.0,경기도 안양시 만안구 예술공원로,153.0,32.0,4117110200108250001011416,패미리월드G7,경기도 안양시 만안구 예술공원로 153-32,430041.0,13911,,,,126.92387644132,37.4196771557727
MA010120220805439504,릴리제이,,M1,과학·기술,M112,전문 디자인,M11203,시각 디자인업,M73203,시각 디자인업,41,경기도,41171,안양시 만안구,41171570,안양7동,4117110100,안양동,4117110100114320000,1,대지,1432.0,,경기도 안양시 만안구 안양동 1432,411714346052.0,경기도 안양시 만안구 덕천로152번길,25.0,,4117110100101890000020804,안양아이에스BIZ타워센트럴,경기도 안양시 만안구 덕천로152번길 25,430017.0,14084,,,,126.938297255633,37.3928838102615
